mc,ramp,capacity,ner,ser,cer,cher
29.46794436,277.2,462,5.868,3.676,3850.448,140.143
29.8124934,38.16,63.6,23.102,13.207,4271.185,172.962
30.82851575,320.76,356.4,0.716,0.113,752.91,14.955
30.9620508,19.08,21.2,0.076,0.0237,746.195,14.177
31.7979192,610.47,678.3,0.079,0.0042,779.26,15.182
32.2876237,162,180,0.317,0.0043,784.865,15.316
32.9,1.53,1.7,18.55379083,0.008,793.6787807,14.969
32.93159215,1.62,1.8,3.144201642,31.85575683,1398.143835,14.969
33.5474597,777.6,864,0.272,4.304,919.919,42.507
35.44,783,870,0.075,0.08,868.583,16.291
35.44202975,907.2,1008,0.075,0.006,868.583,16.291
35.84068035,0.9,1,19.695,4,863.797,16.292
35.9714412,535.59,595.1,0.083,0.009,881.54,16.034
36.0415334,1108.8,1232,0.159,0.0026,883.26,15.913
36.3649993,1.62,1.8,3.472012224,0.0027,876.427,16.53
36.4796824,4.23,4.7,2.433,0.0043,879.191,16.582
37.0480151,2.88,3.2,20.873,0.06,892.888,16.841
37.0480151,1.53,1.7,20.873,0.008,892.888,16.841
37.4080597,9.45,10.5,0.031,0.001,901.566,17.16
37.7048409,1.35,1.5,2.556,0.242,908.718,20.731
38.1518363,7.83,8.7,0.181,0.104,919.48,18.21
38.8313213,3.24,3.6,21.476,0.02,935.867,17.651
38.95696055,14.85,16.5,0.008,0.148,187.155,422.459
39.13990255,259.92,288.8,0.247,0.006,959.877,18.56
39.2925951,1.89,2.1,22.409,0.004,947.021,17.861
39.36729965,1206,1340,0.052,0.008,976.358,19.017
39.824554,6,6,18.29019266,1.685796002,1284.486,37.628
39.940914,3.78,4.2,2.68,0.006,962.609,18.156
40.5925115,20.34,22.6,0.193,0.119,978.313,19.449
41.14,23.49,26.1,2.658,0.06,991.689,18.704
41.14751155,24.3,27,2.658,0.09,991.689,18.704
41.7205633,3.42,3.8,25.575,0.002,1005.486,18.964
42.15784415,3.69,4.1,0.005,0.003,1016.037,19.163
42.55495245,1974.24,2193.6,1.755,13.947,1840.064,230.159
42.63817845,28.35,31.5,0.005,0.011,1027.617,19.382
42.89104775,4.86,5.4,22.934,0.013,995.561,18.777
43.24583495,1.26,1.4,23.733,0.0015,1042.267,19.658
43.7748293,21.6,24,3.342,0.013,1055.01,24.614
44.3,2.79,3.1,25.455,0.015,1068,20.142
44.3113654,2.88,3.2,25.455,0.019,1068,20.142
44.54818605,202.5,225,0.264,1.7,1091.718,21.766
45.39079595,11.34,12.6,7.586,0.673,1093.957,30.806
45.893904,628.3,628.3,0.079,1.3,779.26,15.182
46.0862326,3.15,3.5,0.006,1,1110.7,20.949
46.41508685,9.45,10.5,0.006,1.1,1118.642,21.099
46.45396445,1695.6,1884,3.106,0.897,1964.604,236.901
46.5209963,1376.46,1529.4,1.642,30.442,2011.296,252.103
47.04106665,1469.34,1632.6,0.797,1.048,2025.368,236.447
47.9681878,4.23,4.7,3.489,1,1156.074,21.804
47.9699047,17.1,19,4.885,0.441,1231.368,28.458
48.1412261,151.2,168,0.441,0.0025,1179.805,19.018
48.64900655,3.96,4.4,27.744,0.016,1172.484,22.114
48.8767965,601.2,668,0.684,0.017,2032.142,244.439
49,1.98,2.2,25.856,0.011,1181.025,22.275
49.00320205,2.16,2.4,25.856,1.21,1181.025,22.275
49.05,652.5,725,0.067,0.0013,1202.09,21.883
49.05177965,655.2,728,0.067,0.0015,1202.09,21.883
49.6071968,395.28,439.2,3.256,13.835,2145.458,253.644
50.09963185,6.48,7.2,6.472,0.606,1207.445,31.903
50.32081125,21.96,24.4,1.061,0.8,1212.774,24.298
50.4952512,1980.18,2200.2,2.844,13.902,2183.892,258.636
50.86,735,735,0.088,0.008,863.709,16.552
50.867845,739.5,739.5,0.088,0.0029,863.709,16.552
51.11625975,1216.89,1352.1,3.553,6.999,2162.691,264.129
51.31494485,3.15,3.5,3.47,0.016,1236.733,23.326
51.46760345,2376,2640,0.998,4.049,2238.04,271.201
51.50731525,65.7,73,3.318,0.015,1241.369,23.413
51.8998112,839.7,933,2.655,1.081,2143.632,258.795
51.917544,614,614,0.083,0.0012,881.54,16.034
52.24922945,637.92,708.8,0.502,0.013,1360.377,31.346
52.33968195,1646.46,1829.4,1.156,4.157,2277.813,257.467
52.392513,1137.6,1264,4.673,31.712,2216.682,256.998
52.4759136,7.2,8,29.565,1,1264.713,23.854
52.6008302,620.37,689.3,3.722,6.854,2224.549,249.756
52.6538892,307.8,342,1.655,0.0021,1281.14,24.281
53.6998014,24.66,27.4,0.011,0.0018,1294.21,24.461
53.9785018,4.23,4.7,3.288,0.013,1300.927,24.537
54.4996537,75.6,84,1.272,0.0016,1313.487,26.183
54.53631,237.24,263.6,4.901,42.745,2307.383,282.143
54.7794987,607.5,675,4.809,14.762,2369.145,253.893
54.9562424,602.37,669.3,2.862,1.445,2325.158,265.303
55.34,783,870,0.565,0.009,1418.758,30.14
55.342,895.05,994.5,0.565,0.0026,1418.758,30.14
55.3437768,952.2,1058,0.565,0.007,1418.758,30.14
55.59766945,1233,1370,1.064,1.322,2352.296,266.232
56.30273335,5.76,6.4,32.136,0.008,1356.943,25.593
56.5214344,749.07,832.3,0.113,0.0019,1385.149,15.459
57.07148745,136.08,151.2,2.441,0.0015,1444.484,31.582
57.5289734,490.86,545.4,3.673,0.0027,1717.137,62.699
57.5961944,40.5,45,0.977,0.0029,1411.568,26.636
